query,BiGG_ID,hit,mol_weight,conc_ppm_Bact_Peptone_L37,conc_ppm_Proteose_Peptone_L85,conc_ppm_soya_peptone_L44,conc_ppm_yeast_extract,g/L,mmol/L
L-cysteate,Lcyst(e),Cysteic acid,169.156,4150,375,1325,1900,0,0
L-Cystine,Lcystin(e),L-Cystine,240.30256,4150,375,1325,1900,0,0
Adenine,ade(e),Adenine,135.1269,1000,1000,1000,1000,0,0
D-Alanine,ala_D(e),D-Alanine,89.09322,3920,3810,2570,910,0,0
L-Alanine,ala_L(e),L-Alanine,89.09322,3920,3810,2570,910,0,0
D-Alanyl-D-alanine,alaala(e),D-Alanyl-D-alanine,160.17116,3920,3810,2570,910,0,0
L-alanyl-L-aspartate,alaasp(e),Alanyl-Aspartic acid,203.17,3920,3810,2570,910,0,0
L-alanyl-L-glutamine,alagln(e),Alanyl-Glutamine,217.22,3920,3810,2570,910,0,0
L-alanyl-L-glutamate,alaglu(e),Alanyl-Glutamic acid,218.21,3920,3810,2570,910,0,0
L-alanylglycine,alagly(e),Alanylglycine,146.14,8455.294118,6537.647059,5584.705882,7420,0,0
L-alanyl-L-histidine,alahis(e),Alanyl-Histidine,226.23,3920,3810,2570,910,0,0
L-alanyl-L-leucine,alaleu(e),Alanyl-Leucine,202.25,12680,13030,10110,11710,0,0
L-alanyl-L-threonine,alathr(e),Alanyl-Threonine,190.2,3920,3810,2570,910,0,0
L-Arabinose,arab_L(e),L-Arabinose,150.1299,1000,1000,1000,1000,0,0
L-Arginine,arg_L(e),L-Arginine,174.201,49900,58000,46400,33100,0,0
L-Asparagine,asn_L(e),L-Asparagine,132.118,30300,29250,35300,35350,0,0
L-Aspartate,asp_L(e),L-Aspartic acid,133.1027,60600,58500,70600,70700,0,0
Biotin,btn(e),Biotin,244.31172,0,0,100,0,0,0
Calcium,ca2(e),Calcium,40.078,635,200,225,155,0,0
Cob(I)alamin,cbl1(e),Cob(I)alamin,1330.3557,0,0,100,0,0,0
Cob(II)alamin,cbl2(e),Cob(II)alamin,1329.3478,0,0,100,0,0,0
Cellobiose,cellb(e),Cellobiose,342.29648,0,0,100,0,0,0
Cys-Gly,cgly(e),Cysteinylglycine,178.21058,8685.294118,6767.647059,5814.705882,7650,0,0
Chloride,cl(e),Chloride ion,35.4527,10000,80000,4000,3000,0,0
CO2,co2(e),Carbon dioxide,44.01,0,0,10000,0,0,0
Co2,cobalt2(e),Cobalt,129.839,1000,2000,2000,31000,0,0
Cu2,cu2(e),,127.09,1,10,2,2,0,0
L-Cysteine,cys_L(e),L-Cysteine,121.158,4150,375,1325,1900,0,0
Fe2,fe2(e),,55.84,11,21,45,26,0,0
Fe3,fe3(e),,55.85,11,21,45,26,0,0
Folate,fol(e),Folic acid,441.3975,0,0,7,0,0,0
D-Galactose,gal(e),D-Galactose,180.1559,10000,0,0,0,0,0
D-Galacturonate,galur(e),D-Galacturonate,194.14,10000,0,0,0,0,0
D-Glucosamine,gam(e),Glucosamine,179.17116,10000,0,0,0,0,0
D-Glucose,glc(e),D-Glucose,180.15588,10000,0,0,0,0,0
D-Glucuronate,glcur(e),D-Glucuronic acid,194.1394,10000,0,0,0,0,0
L-Glutamine,gln_L(e),L-Glutamine,146.14458,49650,68900,73550,67450,0,0
L-Glutamate,glu_L(e),L-Glutamic acid,147.1293,49650,68900,73550,67450,0,0
Glycine,gly(e),Glycine,75.06664,4535.294118,2617.647059,1664.705882,3500,0,0
Glycyl-L-asparagine,glyasn(e),,189.17,4535.294118,2617.647059,1664.705882,3500,0,0
Glycyl-L-aspartate,glyasp(e),,189.15,4535.294118,2617.647059,1664.705882,3500,0,0
Glycerol 3-phosphate,glyc3p(e),Glycerol 3-phosphate,172.07372,4535.294118,2617.647059,1664.705882,3500,0,0
(R)-Glycerate,glyc_R(e),Glyceric acid,106.07734,4535.294118,2617.647059,1664.705882,3500,0,0
Glycyl-L-glutamine,glygln(e),,203.2,4535.294118,2617.647059,1664.705882,3500,0,0
Glycyl-L-glutamate,glyglu(e),,203.17,4535.294118,2617.647059,1664.705882,3500,0,0
exchange reaction for glycylglyci,glygly(e),,150.14,4535.294118,2617.647059,1664.705882,3500,0,0
Glycylleucine,glyleu(e),Glycylleucine,188.2242,13295.29412,11837.64706,9204.705882,14300,0,0
Glycyl-L-methionine,glymet(e),,206.27,7168.627451,4417.647059,2698.039215,4833.333333,0,0
exchange reaction for glycylphenylalai,glyphe(e),,240.26,4535.294118,2617.647059,1664.705882,3500,0,0
Glycylproline,glypro(e),Glycylproline,172.18,23968.62742,22584.31376,12998.03918,6433.33333,0,0
Glycyl-L-tyrosine,glytyr(e),Glycyl-Tyrosine,238.2399,4535.294118,2617.647059,1664.705882,3500,0,0
Guanine,gua(e),Guanine,151.13,1000,1000,1000,1000,0,0
H,h(e),L-Histidine,155.15468,1000,1000,1000,1000,0,0
H2O,h2o(e),Water,18.0153,100000,100000,100000,100000,0,0
Hydrogen sulfide,h2s(e),Hydrogen sulfide,34.08188,1000,1000,1000,1000,0,0
L-Isoleucine,ile_L(e),L-Isoleucine,131.175,38100,45800,25100,48100,0,0
K,k(e),L-Lysine,146.18764,36000,14000,33000,73000,0,0
D-lactate,lac_D(e),L-Lactic acid,90.07794,10000,0,0,0,0,0
Lactose,lcts(e),Lactose,342.3,10000,0,0,0,0,0
L-Leucine,leu_L(e),L-Leucine,131.17296,8760,9220,7540,10800,0,0
exchange reaction for leucylglyci,leugly(e),,206.24,8760,9220,7540,10800,0,0
Leucylleucine,leuleu(e),Leucyl-Leucine,244.331,8760,9220,7540,10800,0,0
L-Lysine,lys_L(e),L-Lysine,146.18764,43800,46100,37700,54000,0,0
Maltose,malt(e),Maltose,342.3,1000,1000,1000,1000,0,0
D-Mannose,man(e),D-Mannose,180.1559,1000,1000,1000,1000,0,0
methanol,meoh(e),Methanol,32.04186,1000,1000,1000,1000,0,0
D-Methionine,met_D(e),D-Methionine,149.21238,2633.333333,1800,1033.333333,1333.333333,0,0
L-Methionine,met_L(e),L-Methionine,149.21238,2633.333333,1800,1033.333333,1333.333333,0,0
L-methionyl-L-alanine,metala(e),Methionyl-Alanine,220.29,2633.333333,1800,1033.333333,1333.333333,0,0
L-methionine-R-sulfoxide,metsox_R_L(e),,165.21,2633.333333,1800,1033.333333,1333.333333,0,0
L-Methionine S-oxide,metsox_S_L(e),L-Methionine S-oxide,165.21178,2633.333333,1800,1033.333333,1333.333333,0,0
Mg,mg2(e),,24.305,265,340,1530,1530,0,0
Sodium,na1(e),Sodium,22.98977,10000,80000,4000,3000,0,0
Nicotinate,nac(e),Nicotinic acid,123.10944,10000,0,0,0,0,0
Ammonia,nh4(e),Ammonia,17.03056,100,0,0,0,0,0
Ornithine,orn(e),Ornithine,132.16106,1000,1000,1000,1000,0,0
Orotate,orot(e),Orotic acid,156.0963,1000,1000,1000,1000,0,0
Lead,pb(e),Lead,207.2,0.4,0.1,0.3,0.7,0,0
exchange reaction for pectins,pect(e),,194.14,10000,0,0,0,0,0
L-Phenylalanine,phe_L(e),L-Phenylalanine,165.18918,26000,46600,3800,37800,0,0
Phosphate,pi(e),Phosphate,97.9952,10000,0,0,0,0,0
(R)-Pantothenate,pnto_R(e),Pantothenic acid,219.23502,10000,0,0,0,0,0
L-Proline,pro_L(e),L-Proline,115.1305,19433.33333,19966.66667,11333.33333,2933.333333,0,0
L-Prolinylglycine,progly(e),,174.2,23968.62745,22584.31373,12998.03922,6433.333333,0,0
Pyridoxamine,pydam(e),Pyridoxamine,168.19316,10000,0,0,0,0,0
Pyridoxal,pydx(e),Pyridoxal,167.162,10000,0,0,0,0,0
Pyridoxine,pydxn(e),Pyridoxine,169.17788,10000,0,0,0,0,0
Reduced riboflavin,rbflvrd(e),Riboflavin reduced,378.4,0,0,2750,0,0,0
Riboflavin,ribflv(e),Riboflavin,376.3639,0,0,2750,0,0,0
L-Serine,ser_L(e),L-Serine,105.09262,28100,21800,6700,34200,0,0
Sulfate,so4(e),Sulfate,98.07948,10000,0,0,0,0,0
"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",strch1(e),,359.33,10000,0,0,0,0,0
Taurine,taur(e),Taurine,125.148,1000,1000,1000,1000,0,0
Thiamin,thm(e),Thiamine,265.35574,1000,1000,1000,1000,0,0
L-Threonine,thr_L(e),L-Threonine,119.1192,12500,27500,16800,27300,0,0
L-Tryptophan,trp_L(e),L-Tryptophan,204.22526,6600,7500,6400,8500,0,0
L-Tyrosine,tyr_L(e),L-Tyrosine,181.18858,3900,17700,20900,49500,0,0
Uracil,ura(e),Uracil,112.08684,1000,1000,1000,1000,0,0
L-Valine,val_L(e),L-Valine,117.14638,33300,41100,36500,10000,0,0